Company ID,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
107,CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",12/1/93,858877
108,C,Citigroup Inc.,reports,Financials,Banks,"New York, New York",5/31/88,831001
109,CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944
110,CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,877890
111,CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",,1156375
112,CMS,CMS Energy,reports,Utilities,MultiUtilities,"Jackson, Michigan",,811156
113,COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132
114,KO,Coca Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
115,CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",,1058290
116,CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665
117,CMCSA,Comcast A Corp,reports,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/15,1166691
118,CMA,Comerica Inc.,reports,Financials,Regional Banks,"Dallas, Texas",,28412
119,CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",8/31/83,23217
120,CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/16,1358071
121,COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165
122,ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862
123,STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",,16918
124,GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741
125,COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832
126,COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, NY",10/3/16,1024305
127,CCI,Crown Castle International Corp.,reports,Real Estate,REITs,"Houston, Texas",3/14/12,1051470
128,CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,"Falls Church, Virginia",12/1/15,1646383
129,CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/67,277948
130,CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,26172
131,CVS,CVS Health,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803
132,DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184
133,DHR,Danaher Corp.,reports,Industrials,Industrial Conglomerates,"Washington, D.C.",,313616
134,DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944
135,DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,927066
136,DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",,315189
137,DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/12,1521332
138,DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/13,27904
139,XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,818479
140,DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,1090012
141,DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,"San Francisco, California",5/18/16,1297996
142,DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612
143,DISCA,Discovery Communications-A,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",3/1/10,1437107
144,DISCK,Discovery Communications-C,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",8/7/14,1437107
145,DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,29534
146,DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703
147,D,Dominion Resources,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957
148,DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905
149,DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",,29915
150,DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",10/7/08,1418135
151,DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,"Detroit, Michigan",,936340
152,DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,"Wilmington, Delaware",,30554
153,DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160
154,DNB,Dun & Bradstreet,reports,Industrials,Research & Consulting Services,"Short Hills, New Jersey",12/2/08,1115222
155,ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",3/31/04,1015780
156,EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389
157,ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1551182
158,EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",,1065088
159,ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/89,31462
160,EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",,827052
161,EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",4/1/11,1099800
162,EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",,712515
163,EMR,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",3/31/65,32604
164,ENDP,Endo International,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1/27/15,1100962
165,ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984
166,EVHC,Envision Healthcare Corp,reports,Health Care,Health Care Services,"Nashville, Tennessee",12/2/16,895930
167,EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,821189
